Malik AZMANI,197781
Claudio AZZOLINI,2140
Jason AZZOPARDI,26818
Johannes Cornelis van BAALEN,96937
Georges BACH,97293
Roselyne BACHELOT-NARQUIN,28179
Jean-Paul BACHY,1769
Peter BACO,28195
Monique BADÉNES,1818
Maria BADIA i CUTCHET,28342
Maria Fabrizia BADUEL GLORIOSO,906
Mariela Velichkova BAEVA,38606
Gianni BAGET BOZZO,1093
Jean BAGGIONI,2201
Zoltán BAGÓ,23813
Louis BAILLOT,1787
Emmanouil BAKOPOULOS,4511
Guillaume BALAS,124744
Zigmantas BALČYTIS,96680
Zoltán BALCZÓ,96877
Francesco BALDARELLI,1939
Raffaele BALDASSARRE,96757
Simona BALDASSARRE,197789
Monica Stefania BALDI,2131
Valerio BALDINI,2090
Marino BALDINI,119439
Richard A. BALFE,1428
Neil R. BALFOUR,939
Mihály BALLA,23814
István BALSAI,23822
Francisco Pinto BALSEMÃO,1791
Marek Paweł BALT,197495
Alexandros BALTAS,4489
Burkhard BALZ,96997
Francesca BALZANI,96979
Juan María BANDRÉS MOLET,1155
Martin BANGEMANN,933
Erik BÁNKI,113883
Mary Elizabeth BANOTTI,1426
José BARATA MOURA,1888
Giovanni BARBAGALLO,123792
Giovanni BARBAGLI,934
Carla BARBARELLA,1773
Paolo BARBI,935
Tiberiu BĂRBULEȚIU,33967
Jordan BARDELLA,131580
Otto BARDONG,1825
Nikolay BAREKOV,124871
Katarina BARLEY,197433
Michel BARNIER,72776
Enrique BARÓN CRESPO,1352
Francesca BARRACCIU,116823
Carlos BARRAL AGESTA,1758
Pernando BARRENA ARZA,197684
Heribert BARRERA I COSTA,7
Sylvester BARRETT,1824
José BARROS MOURA,1371
Etelka BARSI-PATAKY,28136
Pietro BARTOLO,197808
Paolo BARTOLOZZI,21818
Roger BARTON,981
Michèle BARZACH,1180
Roberto BARZANTI,1135
Elena BĂSESCU,96814
Traian BĂSESCU,197671
Amjad BASHIR,124956
Domenico Antonio BASILE,72722
Alessandra BASSO,197610
Regina BASTOS,5956
Mindaugas BASTYS,23740
Robert BATAILLY,1477
Gerard BATTEN,28497
Robert C. BATTERSBY,1784
Alessandro BATTILOCCHIO,28427
Katerina BATZELI,28579
Dominique BAUDIS,1759
Pierre BAUDIS,930
Denis BAUDOUIN,1822
Edit BAUER,23866
Charles E. BAUR,1035
Daniel BAUTISTA,96101
Carlos BAUTISTA OJEDA,4376
José Ramón BAUZÁ DÍAZ,197779
Nicolas BAY,124760
Hugues BAYET,125002
Bernardo BAYONA AZNAR,1760
Juan José BAYONA de PEROGORDO,22687
François BAYROU,4324
Jean-Pierre BAZIN,2022
Catherine BEARDER,96955
Jean Marie BEAUPUY,28205
Christopher BEAZLEY,1429
Peter BEAZLEY,1421
Jean-Pierre BEBEAR,2204
George BECALI,96846
Beatriz BECERRA BASTERRECHEA,125040
Christophe BÉCHU,97002
Gunnar BECK,132191
Heinz K. BECKER,107041
Hans-Joachim BECKMANN,1823
Zsolt László BECSEY,28138
Glenn BEDINGFIELD,94508
Angelika BEER,28234
Nicola BEER,197437
Tiziana BEGHIN,124777
Panagiotis BEGLITIS,28580
Aurelia BEIGNEUX,197680
Luis Filipe Pais BEIRÔCO,1138
Bas BELDER,4507
Ivo BELET,28257
Sandrine BÉLIER,96738
Marek BELKA,197496
François-Xavier BELLAMY,197534
Spalato BELLERE',2134
Maria BELO,1362
Irena BELOHORSKÁ,28196
Malika BENARAB-ATTOU,96732
